node_id,type,x,y,z
V1,vehicle,437.2555311186363,3.92162650003454,0.0
V2,vehicle,467.811696147759,2.5305878248531846,0.0
V3,vehicle,439.8583377844582,1.5976681846540592,0.0
V4,vehicle,531.2228383091394,3.783657833816711,0.0
V5,vehicle,479.3690157650807,2.5351706248357475,0.0
V6,vehicle,219.80040426112862,2.1668535414198065,0.0
V7,vehicle,258.9127029368634,3.1165194036774144,0.0
V8,vehicle,557.5595562063062,4.469730300095125,0.0
V9,vehicle,525.9278153607253,1.7988760061574296,0.0
V10,vehicle,502.9170661604436,2.1477736998586545,0.0
V11,vehicle,409.58045564826136,5.935481369230609,0.0
V12,vehicle,422.2986174828901,0.8106288710406478,0.0
V13,vehicle,513.5025679079788,4.466520470508043,0.0
V14,vehicle,336.29443684768296,0.3750961161911782,0.0
V15,vehicle,375.6009427828955,0.048269778902888416,0.0
V16,vehicle,383.1391272557797,2.1268869795730407,0.0
V17,vehicle,308.8759411306814,0.05896512775997209,0.0
V18,vehicle,479.4025615714237,2.841254853556021,0.0
V19,vehicle,244.2267486024726,5.339818603530825,0.0
V20,vehicle,222.26942617747352,5.625400854007333,0.0
V21,vehicle,464.157543931463,6.393870920821477,0.0
V22,vehicle,446.11867127913297,5.5395089973613585,0.0
V23,vehicle,521.0261126586121,0.8898119917754113,0.0
V24,vehicle,234.50060010414236,6.869093873844488,0.0
V25,vehicle,345.823638187779,2.883197918616322,0.0
V26,vehicle,240.71460817944535,1.204585778915022,0.0
V27,vehicle,348.62105538673325,4.457092032947028,0.0
V28,vehicle,379.2320971110081,6.115885070101883,0.0
V29,vehicle,302.9286850289577,4.642422951678045,0.0
V30,vehicle,521.6071544675702,4.61685705876601,0.0
V31,vehicle,296.62926557809294,6.961823818414304,0.0
V32,vehicle,223.8812079963699,4.52264113447186,0.0
V33,vehicle,454.0444644921141,4.360088775310579,0.0
V34,vehicle,431.6361831245975,2.3025371409031816,0.0
V35,vehicle,402.8670022592223,2.0889343194609857,0.0
V36,vehicle,313.9701955566392,1.0972077915639378,0.0
V37,vehicle,381.038575987532,4.35304173643214,0.0
V38,vehicle,249.90559744618398,0.9041198340289678,0.0
V39,vehicle,270.5589318660267,4.093325750068186,0.0
V40,vehicle,494.9841956856003,2.078021790891828,0.0
V41,vehicle,485.8057615528335,6.167107243294817,0.0
V42,vehicle,517.9939556833566,5.4134574085844145,0.0
V43,vehicle,387.3792210400109,4.477448945939711,0.0
V44,vehicle,501.19209938011,4.491059065168679,0.0
V45,vehicle,270.3928497488491,3.0781948008587134,0.0
V46,vehicle,430.76144222039704,3.9881765381575507,0.0
V47,vehicle,252.74174187182325,1.001216341436276,0.0
V48,vehicle,220.33704184206275,4.84138924469019,0.0
V49,vehicle,250.60975927708304,0.856797333901605,0.0
V50,vehicle,482.28309680806,3.7547583362732024,0.0
V51,vehicle,387.56576906685495,2.606802704876865,0.0
V52,vehicle,508.0472440549456,3.6070172966334084,0.0
V53,vehicle,459.49720122736323,0.8370792174465519,0.0
V54,vehicle,399.92212023133743,2.048086265913046,0.0
V55,vehicle,321.4687732710994,1.101069189727938,0.0
V56,vehicle,295.9518153767539,1.4793497799770297,0.0
V57,vehicle,427.8886459789797,6.971088566061454,0.0
V58,vehicle,267.7445296356484,6.425796210205991,0.0
V59,vehicle,346.5930766779187,2.5623284023533652,0.0
V60,vehicle,270.97812236367474,4.108591579555276,0.0
V61,vehicle,420.1557459529499,4.221851541507851,0.0
V62,vehicle,395.5211357636157,3.0448163143772753,0.0
V63,vehicle,531.4029305633526,2.9387637847970627,0.0
V64,vehicle,556.9098753473007,3.94362885920585,0.0
V65,vehicle,490.65884403080145,1.9956540531533395,0.0
V66,vehicle,518.6570013304577,0.3543389349422126,0.0
